0	좋은 날	아이유	[1581, 2137, 2303]	['하늘', '오늘', '바람', '완벽', '못', '얘기', '시작', '말', '눈물', '고개', '말', '말', '하늘', '위', '한번', '말', '말', '오빠', '머리', '옷', '실수', '기억', '얘기', '눈물', '고개', '말', '말', '하늘', '위', '한번', '말', '말', '오빠', '말', '눈물', '앞', '부끄럼', '자존심', '하늘', '위', '말', '말', '오빠', 'dream', 'beautiful', 'beautiful', 'day', 'good', 'day', 'don', 'cry', '날']
1	Oh Yeah 	GD&TOP	[872, 1398, 1765]	['oh', 'yeah', 'oh', 'oh', 'yeah', 'top', 'oh', 'yeah', 'oh', 'oh', 'yeah', 'gd', 'oh', 'yeah', 'oh', 'oh', 'yeah', 'oh', 'yeah', 'oh', 'oh', 'yeah', '사랑', '볼링', '말', '한마디', '귀신', '티', '내기', 'rock', 'world', '맘', '골인', '대답', 'oh', 'girl', '마디', '살결', '실망', 'girl', 'promise', '닮은꼴', '남', 'soul', '세상', 'rock', 'roll', 'um', '오늘', '별', '밤', '행운', '예감', '소리', 'oh', 'yeah', 'oh', 'yeah', 'feel', 'oh', 'yeah', 'oh', 'yeah', '날', 'oh', 'oh', 'oh', 'mamama', 'oh', 'yeah', 'oh', 'yeah', 'yeah', 'yeah', 'yeah', 'style', 'smlie', '게', 'good', '서로', 'CUP', '향기', 'fill', 'kitchen', '느낌', '풍선껌', '맘', 'Celebratin', 'baby', 'lady', 'um', '오늘', '별', '밤', '행운', '예감', '소리', 'oh', 'yeah', 'oh', 'yeah', 'feel', 'oh', 'yeah', 'oh', 'yeah', '날', 'oh', 'yeah', 'oh', 'oh', 'oh', 'mamama', 'oh', 'yeah', 'oh', 'yeah', 'yeah', 'yeah', 'yeah', 're', 'hand', 'air', 're', 'hand', 'air', 'yeah', 're', 'hand', 'air', 're', 'hand', 'air', 'yeah', '오늘', '별', '밤', '행운', '예감', '소리', 'oh', 'yeah', 'oh', 'yeah', 'feel', 'oh', 'yeah', 'oh', 'yeah', '날', 'oh', 'yeah', 'oh', 'oh', 'oh', 'mamama', 'oh', 'yeah', 'oh', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'wan', 'yeah', 'yeah', 'yeah', 'everyday', 'oh', 'yeah', 'oh', 'yeah', 'oh', 'yeah', 'oh', 'yeah']
2	High High	GD&TOP	[1752, 503, 2336]	['선수', '입장', 'class', 'mr', 'club', 'Boy', 'Stance', '금술', 'everybody', 'move', 'move', 'freedom', '정원', '초과', '여우', '씨름', '일부', '일초', '영원', '약속', 'hey', 'noise', '밤', '대통령', '소녀', 'Fly', 'high', 'high', 'high', 'high', 'high', 'high', 'sky', 'high', 'high', 'high', 'fly', 'fly', 'touch', 'sky', 'ha', 'ha', 'ha', 'ha', 'ha', 'la', 'la', 'la', 'la', 'la', 'ha', 'ha', 'ha', 'ha', 'ha', 'ah', 'ok', '콧노래', 'butterfly', 'high', '번개', 'ninja', '의견', '뜻', '복창', '하늘', '자유', '낙하', '걸', '해탈', '사람', '내숭', '순수', '날', '도시', '위', '중심', 'high', 'high', 'high', 'high', 'high', 'sky', 'high', 'high', 'high', 'fly', 'fly', 'touch', 'sky', 'ha', 'ha', 'ha', 'ha', 'ha', 'la', 'la', 'la', 'la', 'la', 'ha', 'ha', 'ha', 'ha', 'ha', 'ah', 'baby', 'stop', '시간', '인생', '방', '이유', '반항', 'baby', 'stop', '시간', '인생', '방', '이유', '반항', 'high', 'high', 'high', 'high', 'high', 'sky', 'high', 'high', 'high', 'fly', 'fly', 'touch', 'sky', 'ha', 'ha', 'ha', 'ha', 'ha', 'la', 'la', 'la', 'la', 'la', 'ha', 'ha', 'ha', 'ha', 'ha', 'ah']
3	니까짓게	씨스타	[2543, 110, 1235]	['Si', 'si', 'sistar', 'brave', 'sound', 'play', 'game', 'play', 'game', 'Fool', 'play', 'game', 'Stupid', 'head', 'cuz', 're', 'mighty', 'Sistar', 'blow', 'chance', 'sorry', 'sorry', 'mister', 'Head', 'sky', 'cuz', 're', 'mighty', 'Sistar', 'Sistar', 'Sistar', 're', 'mighty', 'Sistar', '애', '친구', '눈치', '시간', 'don', 'cry', 'cry', '사랑', '옆구리', '이제', '혼자', '상처', '화가', '화가', '사랑', 'Baby', '속', '눈물', 'yeah', 'Baby', 'baby', 'baby', 'baby', 'baby', 'Baby', 'baby', 'baby', 'baby', 'baby', 'Baby', 'baby', 'baby', 'baby', 'baby', '눈', '눈', '피눈물', 'trippin', 'slippin', '바람끼', '말투', '여기저기', '선수', 'Number', 'cheater', '고민', '모습', '사랑', '옆구리', '이제', '혼자', '상처', '화가', '화가', '사랑', 'Baby', '속', '눈물', 'yeah', 'Baby', 'baby', 'baby', 'baby', 'baby', 'Baby', 'baby', 'baby', 'baby', 'baby', 'Baby', 'baby', 'baby', 'baby', 'baby', '눈', '눈', '피눈물', '사랑', '말', '이제', '말', '잠', 'head', 'cuz', 're', 'mighty', 'Sistar', 'blow', 'chance', 'sorry', 'sorry', 'mister', 'Head', 'sky', 'cuz', 're', 'mighty', 'Sistar', 'Sistar', 'Sistar', 're', 'mighty', 'Sistar']
4	샤이보이	시크릿	[3886, 384, 1163]	['뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥', '밥', 'Time', 'Time', 'Time', 'Shine', 'Time', 'Time', 'Time', 'Secret', 'Time', 'Time', 'Time', 'Time', 'Shine', 'Secret', 'Time', '이제', '남자', '바람둥이', '말', '여자', '날', '남자', '사랑', 'Shy', 'Shy', 'Shy', 'Boy', 'Boy', '마음', '남자', 'Bye', 'Bye', 'Bye', 'Boy', 'Bad', 'Boy', '완벽', '남자', 'Shy', 'Boy', '뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥', '밥', '게', '남자', '철이', '날', '남자', '사랑', 'Shy', 'Shy', 'Shy', 'Boy', 'Boy', '마음', '남자', 'oh', 'Bye', 'Bye', 'Bye', 'Boy', 'Bad', 'Boy', '완벽', '남자', 'Shy', 'Boy', 'Bad', 'Boy', 'Fly', 'Boy', '속삭임', '맘', 'Boy', 'Boy', 'Boy', '사랑', 'SHY', 'BOY', '사랑', 'Shy', 'Shy', 'Shy', 'Boy', 'Boy', '마음', '남자', 'Say', 'Say', 'Say', 'Boy', 'Say', 'Say', 'Say', 'Boy', '사랑', '이제', '사랑', '말해줘', 'Shy', 'Boy', '뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥', '밥', '뚜', '루', '압', '밥']
5	사랑이 고프다 	박효신	[3234, 45, 3270]	['밤', '일', '집', '앞', '일', '골목길', '추억', '불', '방', '혼자', '혼자', '인사', 'Promise', '밖', 'Promise', '숨', 'Promise', 'Promise', '품', '안', '날', '가슴', '일', '일', '시간', '사랑', '손', '내면', '사이', '안', '이름', 'Promise', '밖', 'Promise', '숨', 'Promise', 'Promise', '품', '안', '날', '눈물', '사랑', '기억', '맘', 'Promise', 'Promise', '품', '안', '날']
6	나쁜 남자	JOO	[552, 1078, 138]	['사랑', '사랑', '바보', '노래', '입', 'Ah', 'sorry', '오', '손', 'Ah', 'sorry', '마음', '때', '남자', '남자', '사람', '여자', '여자', '오', '사람', '오', '눈빛', 'Ah', 'sorry', '처음', 'Ah', 'sorry', '남자', '남자', '사람', '여자', '여자', '자존심', '오늘', '집', '앞', '바보', '여자', '하루', '사람', '남자', '바보']
7	왜 이러니	티아라	[2932, 2405, 2828]	['눈', '맘', '숨', 'baby', '볼', '핫', '딴소리', '사랑', 'crazy', '맘', '맘', '사랑', '말', '바보', 'Knock', 'Knock', 'Knock', 'Knock', 'hear', 'Knock', 'Knock', 'Knock', 'Knock', 'wan', 'love', 'wonderland', 'Everyday', 'Knock', 'knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Baby', '생각', 'Boy', 'Baby', '가슴', '목소리', 'Boy', '사랑', 'crazy', '맘', '맘', '사랑', '말', '바보', 'Knock', 'Knock', 'Knock', 'Knock', 'hear', 'Knock', 'Knock', 'Knock', 'Knock', 'wan', 'love', 'wonderland', 'Everyday', 'Knock', 'knock', 'Knock', 'Knock', 'Knock', 'Knock', '장난', '우연', '생각', 're', 'boy', '운명', '마', '오늘', 'Baby', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'style', 'Say', 'good', 'bye', '맘', '사랑', '말', '바보', 'Knock', 'Knock', 'Knock', 'Knock', 'hear', 'Knock', 'Knock', 'Knock', 'Knock', 'wan', 'love', 'hear', 'knock', 'knock', 'want', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'hear', 'Knock', 'Knock', 'Knock', 'Knock', 'wan', 'love', 'wonderland', 'Everyday', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock', 'Knock']
8	yayaya	티아라	[3761, 138, 952]	['look', 'ARA', 'Ready', 'seeya', 'LaLaLaLa', 'hey', 'YaYaYaYa', 'Shubidubi', 'ShaLaLaLaLa', 'YaYaYaYa', 'seeya', 'LaLaLaLa', 'hey', 'YaYaYaYa', 'Shubidub', 'Su', 'Supa', 'Nova', '불꽃', 'Hot', 'Hot', '눈', 'Ah', 'Ah', 'Yo', 'ma', 'Yo', 'ma', 'Lova', 'Lova', 'Yo', 'ma', 'Yo', 'ma', 'Supa', 'Nova', 'Hee', 'Hee', 'seeya', 'LaLaLaLa', 'hey', 'YaYaYaYa', '앞', 'Shubidubi', 'ShaLaLaLaLa', 'YaYaYaYa', 'Hee', 'Hee', 'Hee', 'Hee', 'Hee', 'Hee', '가슴', 'Ah', 'Ah', '꽃다발', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Many', 'Many', 'Many', '근대', 'seeya', 'LaLaLaLa', 'hey', 'YaYaYaYa', 'Shubidubi', 'ShaLaLaLaLa', 'YaYaYaYa', 'seeya', 'LaLaLaLa', 'hey', 'YaYaYaYa', 'Shubidub', 'Su', 'Supa', 'Nova', '눈', 'Hot', 'Hot', '몸', 'Ah', 'Ah', 'Yo', 'ma', 'Yo', 'ma', 'Lova', 'Lova', 'Yo', 'ma', 'Yo', 'ma', 'Supa', 'Nova', 'Hee', 'Hee', 'seeya', 'LaLaLaLa', 'hey', 'YaYaYaYa', 'good', 'boy', 'Shubidubi', 'ShaLaLaLaLa', 'YaYaYaYa', 'Hee', 'Hee', 'Hee', 'Hee', 'Hee', 'Hee', '가슴', 'Ah', 'Ah', '꽃다발', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Many', 'Many', 'Many', '근대', 'seeya', 'LaLaLaLa', 'hey', 'YaYaYaYa', 'LaLaLa', 'Baby', 'boy', 'Hot', 'Hot', 'Hot', 'Ha', 'Ha', 'Me', '심장', '가슴', 'Ah', 'Ah', '꽃다발', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'Ah', 'seeya', 'LaLaLaLa']
9	니가 따끔거려서	제아	[1212, 1855, 3792]	['눈물', '가시', '목', '아무것', '잠', '한숨', '가', '가슴', '숨', '때', '날', '사랑', '숨', '머리', '추억', '말', '입가', '맴', '입술', '말', '말', '한참', '자리', '걸음', '조차', '말', '전', '사랑', '숨', '머리', '추억', '하루', '하루', '사랑', '숨', '머리', '추억']
