	갓츄 (GOT U)	남성	그룹	1937
0	2PM	남성	그룹	22241
1	엠투엠 (M To M)	남성	솔로	4007
2	효민	여성	솔로	4177
3	코요태	혼성	그룹	10065
4	최준영	남성	솔로	92
5	PRISTIN (프리스틴)	여성	그룹	12458
6	써니힐	여성	그룹	14961
7	김보아	여성	솔로	909
8	양요섭	남성	솔로	51578
9	간종욱	남성	솔로	405
10	티아라 N4	여성	그룹	1805
11	조정석	남성	솔로	14406
12	신화	남성	그룹	42422
13	긱스 (Geeks)	남성	그룹	29865
14	스윗 콧소로우 (정준하 & 스윗소로우)	남성	그룹	271
15	이영지	여성	솔로	17954
16	JYJ	남성	그룹	29818
17	원더걸스	여성	그룹	33950
18	진민호	남성	솔로	2352
19	H-유진	남성	솔로	391
20	정엽	남성	솔로	8815
21	장미여관	남성	그룹	6182
22	GRAY (그레이)	남성	솔로	77885
23	Jvcki Wai	여성	솔로	40492
24	언터쳐블	남성	그룹	4142
25	예성 (YESUNG)	남성	솔로	18932
26	반하나	여성	솔로	10418
27	하진 (HAJIN)	여성	솔로	2909
28	하하	남성	솔로	5037
29	AKMU (악동뮤지션)	혼성	그룹	221188
30	비룡	남성	솔로	2494
31	정키	남성	솔로	38262
32	제국의아이들 (ZE:A)	남성	그룹	4972
33	클로버	혼성	그룹	2210
34	하이라이트 (Highlight)	남성	그룹	82189
35	서영은	여성	솔로	8630
36	댄싱게놈 (유재석, JYP)	남성	그룹	2052
37	키썸 (Kisum)	여성	솔로	32158
38	종현 (JONGHYUN)	남성	솔로	96568
39	이진아	여성	솔로	31367
40	상주나 (정준하, 윤상)	남성	그룹	1033
41	넬 (NELL)	남성	그룹	64050
42	강다니엘	남성	솔로	69431
43	존박	남성	솔로	27126
44	더 씨야	여성	그룹	1562
45	첸 (CHEN)	남성	솔로	144103
46	정세운	남성	솔로	42294
47	경서예지	여성	그룹	3008
48	JK 김동욱	남성	솔로	3668
49	박경	남성	솔로	34343
50	박우진 (AB6IX)	남성	솔로	37515
51	알리 (ALi)	여성	솔로	20990
52	H.O.T.	남성	그룹	18856
53	크레파스	여성	그룹	2731
54	디유닛	여성	그룹	571
55	히키 (Hickee)	여성	솔로	1817
56	소진 (Sojin)	여성	솔로	7028
57	샤넌	여성	솔로	7751
58	박정아	여성	솔로	475
59	제시 (Jessi)	여성	솔로	28985
60	왁스	여성	솔로	6649
61	길	남성	솔로	8345
62	Of 비스트	남성	그룹	5142
63	이하이	여성	솔로	69402
64	리쌍	남성	그룹	48471
65	김성규	남성	솔로	57882
66	MOBB (MINO & BOBBY)	남성	그룹	13549
67	플로우식 (Flowsik)	남성	솔로	6030
68	빅스타	남성	그룹	1184
69	블루 (BLOO)	남성	솔로	31790
70	우먼파워	여성	그룹	69
71	하하 X MINO	남성	그룹	2599
72	현빈	남성	솔로	2177
73	가희	여성	솔로	570
74	오윤혜	여성	솔로	1281
75	하은요셉	남성	그룹	1335
76	DK	남성	솔로	5195
77	딘딘	남성	솔로	10379
78	솔지하니 (EXID)	여성	그룹	2450
79	김호중	남성	솔로	40513
80	The One (더원)	남성	솔로	11446
81	송하예	여성	솔로	14066
82	에일리(AILEE)	여성	솔로	116827
83	이상순	남성	솔로	2520
84	Osshun Gum	남성	솔로	14904
85	옥주현	여성	솔로	4453
86	박정현	여성	솔로	33873
87	파리돼지앵 (정형돈 & 정재형)	남성	그룹	259
88	승리	남성	솔로	32198
89	이석훈	남성	솔로	19669
90	이예준	여성	솔로	13509
91	강승윤	남성	솔로	41790
92	조성모	남성	솔로	9195
93	현아	여성	솔로	39887
94	레드벨벳-아이린&슬기	여성	그룹	14038
95	PRODUCE 101	남성	그룹	30211
96	이적	남성	솔로	48734
97	정준하	남성	솔로	1662
98	X1 (엑스원)	남성	그룹	39988
99	지오 (G.O)	남성	솔로	1434
100	틴탑	남성	그룹	19077
101	노홍철	남성	솔로	1164
102	유재석	남성	솔로	11848
103	뉴이스트 W	남성	그룹	69985
104	영탁	남성	솔로	28564
105	박혜경	여성	솔로	5166
106	미란이 (Mirani)	여성	솔로	13728
107	SHINee (샤이니)	남성	그룹	127149
108	비투비	남성	그룹	198816
109	T.O.P	남성	솔로	33303
110	테이크 (TAKE)	남성	그룹	4508
111	버나드 박	남성	솔로	8567
112	국.슈 (국프의 핫이슈)	여성	그룹	843
113	펀치넬로 (punchnello)	남성	솔로	19036
114	IZ*ONE (아이즈원)	여성	그룹	85020
115	ASH ISLAND	남성	솔로	67895
116	제이큐티	여성	그룹	175
117	럼블피쉬	여성	솔로	7700
118	MJ (써니사이드)	남성	솔로	7706
119	Woodie Gochild	남성	솔로	8117
120	간미연	여성	솔로	996
121	방탄소년단	남성	그룹	766605
122	지연	솔로	여성	7292
123	백현 (BAEKHYUN)	남성	솔로	238751
124	한동근	남성	솔로	28897
125	전효성	여성	솔로	7237
126	레디 (Reddy)	남성	솔로	17346
127	엄정화	여성	솔로	7790
128	허영생	남성	솔로	3020
129	JJ Project	남성	그룹	27164
130	예지	여성	솔로	10990
131	보아 (BoA)	여성	솔로	46019
132	휘인 (Whee In)	여성	솔로	47412
133	박보람	여성	솔로	21023
134	FIX	남성	그룹	154
135	BLACKPINK	여성	그룹	204360
136	뉴이스트	남성	그룹	95855
137	JIN (러블리즈)	여성	솔로	6599
138	황치열	남성	솔로	56699
139	SE7EN	남성	솔로	2977
140	f(x)	여성	그룹	68903
141	Ja Mezz	남성	솔로	8788
142	씨스타19	여성	그룹	4426
143	Justin Bieber	남성	솔로	65540
144	김영근	남성	솔로	5621
145	차지연	여성	솔로	3394
146	15& (박지민, 백예린)	여성	그룹	15890
147	장현승	남성	솔로	12067
148	마이네임	남성	그룹	2146
149	강균성 (노을)	남성	솔로	2287
150	핫펠트 (HA:TFELT)	여성	솔로	15456
151	EXO-CBX (첸백시)	남성	그룹	153892
152	숀 (SHAUN)	남성	솔로	20502
153	인피니트	남성	그룹	108268
